time	V(n002)	V(n003)
3.845709535497586e-003	-2.034527e-001	1.000000e+000
3.925229624783299e-003	-2.042417e-001	1.000000e+000
4.004749714069011e-003	-2.044825e-001	1.000000e+000
4.057763106926153e-003	-2.044297e-001	1.000000e+000
4.110776499783294e-003	-2.042097e-001	1.000000e+000
4.163789892640436e-003	-2.038226e-001	1.000000e+000
4.216803285497578e-003	-2.032684e-001	1.000000e+000
4.269816678354720e-003	-2.025470e-001	1.000000e+000
4.322830071211861e-003	-2.016585e-001	1.000000e+000
4.375843464069003e-003	-2.006028e-001	1.000000e+000
4.481870249783286e-003	-1.979934e-001	1.000000e+000
4.587897035497570e-003	-1.950032e-001	1.000000e+000
4.693923821211853e-003	-1.916321e-001	1.000000e+000
4.799950606926137e-003	-1.878802e-001	1.000000e+000
4.905977392640420e-003	-1.837475e-001	1.000000e+000
5.012004178354704e-003	-1.792339e-001	1.000000e+000
5.118030964068987e-003	-1.743395e-001	1.000000e+000
5.257539892640412e-003	-1.675467e-001	1.000000e+000
5.397048821211838e-003	-1.606158e-001	1.000000e+000
5.536557749783264e-003	-1.535466e-001	1.000000e+000
5.676066678354690e-003	-1.463392e-001	1.000000e+000
5.815575606926115e-003	-1.389937e-001	1.000000e+000
5.955084535497541e-003	-1.315099e-001	1.000000e+000
6.094593464068966e-003	-1.238879e-001	1.000000e+000
6.257818910497534e-003	-1.151118e-001	1.000000e+000
6.421044356926102e-003	-1.065826e-001	1.000000e+000
6.584269803354670e-003	-9.830030e-002	1.000000e+000
6.747495249783238e-003	-9.026492e-002	1.000000e+000
6.910720696211806e-003	-8.247646e-002	1.000000e+000
7.073946142640375e-003	-7.493491e-002	1.000000e+000
7.237171589068942e-003	-6.764027e-002	1.000000e+000
7.424113553354652e-003	-5.980914e-002	1.000000e+000
7.611055517640362e-003	-5.246301e-002	1.000000e+000
7.797997481926073e-003	-4.560188e-002	1.000000e+000
7.984939446211783e-003	-3.922575e-002	1.000000e+000
8.171881410497494e-003	-3.333463e-002	1.000000e+000
8.358823374783204e-003	-2.792851e-002	1.000000e+000
8.545765339068914e-003	-2.300740e-002	1.000000e+000
8.577852392640343e-003	-2.220811e-002	1.000000e+000
8.609939446211769e-003	-2.142203e-002	1.000000e+000
8.642026499783198e-003	-2.064915e-002	1.000000e+000
8.674113553354625e-003	-1.988947e-002	1.000000e+000
8.706200606926054e-003	-1.914300e-002	1.000000e+000
8.738287660497481e-003	-1.840973e-002	1.000000e+000
8.770374714068909e-003	-1.768966e-002	1.000000e+000
8.780140339068909e-003	-1.747301e-002	1.000000e+000
8.908488553354620e-003	-1.475318e-002	1.000000e+000
9.036836767640333e-003	-1.221471e-002	1.000000e+000
9.165184981926044e-003	-9.857610e-003	1.000000e+000
9.293533196211755e-003	-7.681875e-003	1.000000e+000
9.421881410497468e-003	-5.687504e-003	1.000000e+000
9.550229624783179e-003	-3.874498e-003	1.000000e+000
9.678577839068890e-003	-2.242857e-003	1.000000e+000
9.721825606926032e-003	-1.722824e-003	1.000000e+000
9.765073374783174e-003	-1.219331e-003	1.000000e+000
9.808321142640316e-003	-7.323757e-004	1.000000e+000
9.851568910497457e-003	-2.619595e-004	1.000000e+000
9.894816678354599e-003	1.919180e-004	1.000000e+000
9.938064446211741e-003	6.292566e-004	1.000000e+000
9.981312214068883e-003	1.050057e-003	1.000000e+000
9.991077839068883e-003	1.143106e-003	1.000000e+000
1.000000000000000e-002	1.227661e-003	1.000000e+000
