waveform	Ch0	
t0	2018/05/01  15:17:27.896645	
delta t	2.000000E-6	

time[0]	Ch0
2018/05/01  15:17:27.899009	-1.544821E-1
2018/05/01  15:17:27.899011	-1.536449E-1
2018/05/01  15:17:27.899013	-1.529043E-1
2018/05/01  15:17:27.899015	-1.522603E-1
2018/05/01  15:17:27.899017	-1.513910E-1
2018/05/01  15:17:27.899019	-1.504572E-1
2018/05/01  15:17:27.899021	-1.494268E-1
2018/05/01  15:17:27.899023	-1.484609E-1
2018/05/01  15:17:27.899025	-1.475915E-1
2018/05/01  15:17:27.899027	-1.463358E-1
2018/05/01  15:17:27.899029	-1.450478E-1
2018/05/01  15:17:27.899031	-1.438242E-1
2018/05/01  15:17:27.899033	-1.425685E-1
2018/05/01  15:17:27.899035	-1.412805E-1
2018/05/01  15:17:27.899037	-1.397350E-1
2018/05/01  15:17:27.899039	-1.382860E-1
2018/05/01  15:17:27.899041	-1.368371E-1
2018/05/01  15:17:27.899043	-1.350984E-1
2018/05/01  15:17:27.899045	-1.334562E-1
2018/05/01  15:17:27.899047	-1.318141E-1
2018/05/01  15:17:27.899049	-1.300753E-1
2018/05/01  15:17:27.899051	-1.282078E-1
2018/05/01  15:17:27.899053	-1.262115E-1
2018/05/01  15:17:27.899055	-1.243117E-1
2018/05/01  15:17:27.899057	-1.225408E-1
2018/05/01  15:17:27.899059	-1.204157E-1
2018/05/01  15:17:27.899061	-1.182262E-1
2018/05/01  15:17:27.899063	-1.162620E-1
2018/05/01  15:17:27.899065	-1.141047E-1
2018/05/01  15:17:27.899067	-1.116898E-1
2018/05/01  15:17:27.899069	-1.093715E-1
2018/05/01  15:17:27.899071	-1.072141E-1
2018/05/01  15:17:27.899073	-1.049280E-1
2018/05/01  15:17:27.899075	-1.023843E-1
2018/05/01  15:17:27.899077	-9.984060E-2
2018/05/01  15:17:27.899079	-9.755449E-2
2018/05/01  15:17:27.899081	-9.510737E-2
2018/05/01  15:17:27.899083	-9.240267E-2
2018/05/01  15:17:27.899085	-8.966576E-2
2018/05/01  15:17:27.899087	-8.721865E-2
2018/05/01  15:17:27.899089	-8.454614E-2
2018/05/01  15:17:27.899091	-8.164825E-2
2018/05/01  15:17:27.899093	-7.891134E-2
2018/05/01  15:17:27.899095	-7.620664E-2
2018/05/01  15:17:27.899097	-7.346973E-2
2018/05/01  15:17:27.899099	-7.050743E-2
2018/05/01  15:17:27.899101	-6.760954E-2
2018/05/01  15:17:27.899103	-6.484043E-2
2018/05/01  15:17:27.899105	-6.210353E-2
2018/05/01  15:17:27.899107	-5.910903E-2
2018/05/01  15:17:27.899109	-5.601794E-2
2018/05/01  15:17:27.899111	-5.302344E-2
2018/05/01  15:17:27.899113	-5.031874E-2
2018/05/01  15:17:27.899115	-4.722764E-2
2018/05/01  15:17:27.899117	-4.413655E-2
2018/05/01  15:17:27.899119	-4.123865E-2
2018/05/01  15:17:27.899121	-3.824415E-2
2018/05/01  15:17:27.899123	-3.508866E-2
2018/05/01  15:17:27.899125	-3.202976E-2
2018/05/01  15:17:27.899127	-2.900307E-2
2018/05/01  15:17:27.899129	-2.607297E-2
2018/05/01  15:17:27.899131	-2.298187E-2
2018/05/01  15:17:27.899133	-1.972978E-2
2018/05/01  15:17:27.899135	-1.683188E-2
2018/05/01  15:17:27.899137	-1.383738E-2
2018/05/01  15:17:27.899139	-1.068189E-2
2018/05/01  15:17:27.899141	-7.461994E-3
2018/05/01  15:17:27.899143	-4.435295E-3
2018/05/01  15:17:27.899145	-1.505193E-3
2018/05/01  15:17:27.899147	1.682501E-3
2018/05/01  15:17:27.899149	4.805798E-3
2018/05/01  15:17:27.899151	7.735901E-3
2018/05/01  15:17:27.899153	1.066600E-2
2018/05/01  15:17:27.899155	1.385370E-2
2018/05/01  15:17:27.899157	1.684820E-2
2018/05/01  15:17:27.899159	1.984270E-2
2018/05/01  15:17:27.899161	2.270841E-2
2018/05/01  15:17:27.899163	2.583171E-2
2018/05/01  15:17:27.899165	2.892281E-2
2018/05/01  15:17:27.899167	3.172412E-2
2018/05/01  15:17:27.899169	3.452543E-2
2018/05/01  15:17:27.899171	3.768092E-2
2018/05/01  15:17:27.899173	4.051443E-2
2018/05/01  15:17:27.899175	4.334794E-2
2018/05/01  15:17:27.899177	4.624585E-2
2018/05/01  15:17:27.899179	4.914376E-2
2018/05/01  15:17:27.899181	5.207387E-2
2018/05/01  15:17:27.899183	5.471418E-2
2018/05/01  15:17:27.899185	5.741890E-2
2018/05/01  15:17:27.899187	6.031681E-2
2018/05/01  15:17:27.899189	6.324691E-2
2018/05/01  15:17:27.899191	6.575844E-2
2018/05/01  15:17:27.899193	6.826996E-2
2018/05/01  15:17:27.899195	7.113567E-2
2018/05/01  15:17:27.899197	7.390478E-2
2018/05/01  15:17:27.899199	7.638411E-2
2018/05/01  15:17:27.899201	7.886343E-2
2018/05/01  15:17:27.899203	8.147155E-2
2018/05/01  15:17:27.899205	8.411187E-2
2018/05/01  15:17:27.899207	8.649460E-2
2018/05/01  15:17:27.899209	8.894173E-2
2018/05/01  15:17:27.899211	9.145325E-2
2018/05/01  15:17:27.899213	9.380378E-2
2018/05/01  15:17:27.899215	9.618651E-2
2018/05/01  15:17:27.899217	9.850484E-2
2018/05/01  15:17:27.899219	1.007910E-1
2018/05/01  15:17:27.899221	1.032703E-1
2018/05/01  15:17:27.899223	1.053632E-1
2018/05/01  15:17:27.899225	1.075850E-1
2018/05/01  15:17:27.899227	1.098067E-1
2018/05/01  15:17:27.899229	1.120606E-1
2018/05/01  15:17:27.899231	1.140892E-1
2018/05/01  15:17:27.899233	1.161177E-1
2018/05/01  15:17:27.899235	1.181785E-1
2018/05/01  15:17:27.899237	1.204002E-1
2018/05/01  15:17:27.899239	1.222355E-1
2018/05/01  15:17:27.899241	1.241353E-1
2018/05/01  15:17:27.899243	1.261638E-1
2018/05/01  15:17:27.899245	1.280958E-1
